,round,game_index,date,home_team,away_team,minute,team,teamId,isHome,eloTeam,player,playerId,position,rating,keeper,keeperRating,opponent,eloOpponent,x,y,distance,angle,goal_difference,situation,body_part,goal,xg
32,1,0,21/08/2021,Hellas Verona,Sassuolo,1,Sassuolo,2793,False,1538,Jérémie Boga,367056,F,72,Ivor Pandur,71,Hellas Verona,1387,22.9,33.0,25,26,0,regular,strongFoot,0,
31,1,0,21/08/2021,Hellas Verona,Sassuolo,2,Hellas Verona,2701,True,1387,Antonín Barák,330705,M,74,Andrea Consigli,81,Sassuolo,1538,12.8,73.4,20,51,0,regular,strongFoot,0,
30,1,0,21/08/2021,Hellas Verona,Sassuolo,3,Hellas Verona,2701,True,1387,Martin Hongla,856062,M,69,Andrea Consigli,81,Sassuolo,1538,22.3,64.6,24,23,0,corner,weakFoot,0,
29,1,0,21/08/2021,Hellas Verona,Sassuolo,7,Hellas Verona,2701,True,1387,Darko Lazović,41157,M,67,Andrea Consigli,81,Sassuolo,1538,19.7,37.5,21,23,0,corner,weakFoot,0,
28,1,0,21/08/2021,Hellas Verona,Sassuolo,10,Sassuolo,2793,False,1538,Filip Đuričić,69367,M,68,Ivor Pandur,71,Hellas Verona,1387,18.5,37.5,20,24,0,assisted,weakFoot,0,
27,1,0,21/08/2021,Hellas Verona,Sassuolo,11,Sassuolo,2793,False,1538,Vlad Chiricheş,69295,M,63,Ivor Pandur,71,Hellas Verona,1387,8.0,45.8,8,19,0,corner,head,0,
26,1,0,21/08/2021,Hellas Verona,Sassuolo,12,Sassuolo,2793,False,1538,Francesco Caputo,43905,F,78,Ivor Pandur,71,Hellas Verona,1387,8.7,62.5,12,44,0,assisted,strongFoot,0,
25,1,0,21/08/2021,Hellas Verona,Sassuolo,15,Hellas Verona,2701,True,1387,Antonín Barák,330705,M,74,Andrea Consigli,81,Sassuolo,1538,1.8,61.2,7,76,0,assisted,weakFoot,0,
24,1,0,21/08/2021,Hellas Verona,Sassuolo,17,Sassuolo,2793,False,1538,Davide Frattesi,835600,M,67,Ivor Pandur,71,Hellas Verona,1387,29.9,36.7,31,16,0,assisted,strongFoot,0,
23,1,0,21/08/2021,Hellas Verona,Sassuolo,17,Sassuolo,2793,False,1538,Giacomo Raspadori,865651,F,72,Ivor Pandur,71,Hellas Verona,1387,5.1,69.3,14,68,0,regular,weakFoot,0,
22,1,0,21/08/2021,Hellas Verona,Sassuolo,19,Hellas Verona,2701,True,1387,Miguel Veloso,6557,M,70,Andrea Consigli,81,Sassuolo,1538,25.1,44.3,25,8,0,assisted,strongFoot,0,
21,1,0,21/08/2021,Hellas Verona,Sassuolo,24,Hellas Verona,2701,True,1387,Mattia Zaccagni,293581,F,70,Andrea Consigli,81,Sassuolo,1538,6.8,54.0,7,21,0,assisted,strongFoot,0,
20,1,0,21/08/2021,Hellas Verona,Sassuolo,28,Hellas Verona,2701,True,1387,Darko Lazović,41157,M,67,Andrea Consigli,81,Sassuolo,1538,23.7,39.2,24,17,0,free-kick,weakFoot,0,
19,1,0,21/08/2021,Hellas Verona,Sassuolo,29,Hellas Verona,2701,True,1387,Antonín Barák,330705,M,74,Andrea Consigli,81,Sassuolo,1538,7.8,55.7,8,26,0,corner,head,0,
18,1,0,21/08/2021,Hellas Verona,Sassuolo,31,Hellas Verona,2701,True,1387,Nikola Kalinić,31273,F,73,Andrea Consigli,81,Sassuolo,1538,4.1,50.5,4,4,0,assisted,head,0,
17,1,0,21/08/2021,Hellas Verona,Sassuolo,32,Sassuolo,2793,False,1538,Giacomo Raspadori,865651,F,72,Ivor Pandur,71,Hellas Verona,1387,14.2,52.0,14,5,0,assisted,weakFoot,1,
16,1,0,21/08/2021,Hellas Verona,Sassuolo,45,Hellas Verona,2701,True,1387,Paweł Dawidowicz,288321,M,45,Andrea Consigli,81,Sassuolo,1538,8.7,45.1,9,20,-1,set-piece,head,0,
15,1,0,21/08/2021,Hellas Verona,Sassuolo,47,Hellas Verona,2701,True,1387,Mattia Zaccagni,293581,F,70,Andrea Consigli,81,Sassuolo,1538,12.7,68.8,18,45,-1,assisted,strongFoot,0,
14,1,0,21/08/2021,Hellas Verona,Sassuolo,51,Sassuolo,2793,False,1538,Filip Đuričić,69367,M,68,Ivor Pandur,71,Hellas Verona,1387,9.9,45.7,10,16,1,assisted,weakFoot,1,
13,1,0,21/08/2021,Hellas Verona,Sassuolo,58,Sassuolo,2793,False,1538,Giacomo Raspadori,865651,F,72,Ivor Pandur,71,Hellas Verona,1387,21.4,47.0,21,5,2,free-kick,weakFoot,0,
12,1,0,21/08/2021,Hellas Verona,Sassuolo,59,Sassuolo,2793,False,1538,Jérémie Boga,367056,F,72,Ivor Pandur,71,Hellas Verona,1387,19.9,28.7,24,36,2,corner,strongFoot,0,
11,1,0,21/08/2021,Hellas Verona,Sassuolo,63,Sassuolo,2793,False,1538,Jérémie Boga,367056,F,72,Ivor Pandur,71,Hellas Verona,1387,25.1,48.7,25,2,2,assisted,strongFoot,0,
10,1,0,21/08/2021,Hellas Verona,Sassuolo,64,Sassuolo,2793,False,1538,Filip Đuričić,69367,M,68,Ivor Pandur,71,Hellas Verona,1387,15.4,51.3,15,3,2,assisted,weakFoot,0,
9,1,0,21/08/2021,Hellas Verona,Sassuolo,67,Sassuolo,2793,False,1538,Davide Frattesi,835600,M,67,Ivor Pandur,71,Hellas Verona,1387,25.4,55.3,25,8,2,assisted,weakFoot,0,
8,1,0,21/08/2021,Hellas Verona,Sassuolo,69,Sassuolo,2793,False,1538,Davide Frattesi,835600,M,67,Ivor Pandur,71,Hellas Verona,1387,18.2,52.4,18,5,2,assisted,strongFoot,0,
7,1,0,21/08/2021,Hellas Verona,Sassuolo,69,Sassuolo,2793,False,1538,Davide Frattesi,835600,M,67,Ivor Pandur,71,Hellas Verona,1387,12.7,48.0,12,6,2,regular,weakFoot,0,
6,1,0,21/08/2021,Hellas Verona,Sassuolo,71,Hellas Verona,2701,True,1387,Mattia Zaccagni,293581,F,70,Andrea Consigli,81,Sassuolo,1538,11.5,50.0,11,0,-2,penalty,strongFoot,1,
5,1,0,21/08/2021,Hellas Verona,Sassuolo,76,Sassuolo,2793,False,1538,Filip Đuričić,69367,M,68,Ivor Pandur,71,Hellas Verona,1387,17.9,52.2,17,4,1,assisted,weakFoot,0,
4,1,0,21/08/2021,Hellas Verona,Sassuolo,77,Sassuolo,2793,False,1538,Hamed Junior Traorè,892924,M,66,Ivor Pandur,71,Hellas Verona,1387,14.8,32.3,19,39,1,assisted,strongFoot,1,
3,1,0,21/08/2021,Hellas Verona,Sassuolo,79,Sassuolo,2793,False,1538,Francesco Caputo,43905,F,78,Ivor Pandur,71,Hellas Verona,1387,11.5,55.5,12,18,2,regular,weakFoot,0,
2,1,0,21/08/2021,Hellas Verona,Sassuolo,85,Hellas Verona,2701,True,1387,Samuel Di Carmine,15190,F,71,Andrea Consigli,81,Sassuolo,1538,14.0,37.7,16,30,-2,set-piece,weakFoot,0,
1,1,0,21/08/2021,Hellas Verona,Sassuolo,86,Hellas Verona,2701,True,1387,Giangiacomo Magnani,812829,D,35,Andrea Consigli,81,Sassuolo,1538,3.8,45.7,4,37,-2,corner,head,0,
0,1,0,21/08/2021,Hellas Verona,Sassuolo,90,Hellas Verona,2701,True,1387,Mattia Zaccagni,293581,F,70,Andrea Consigli,81,Sassuolo,1538,7.1,31.4,14,60,-2,assisted,strongFoot,1,
25,1,1,21/08/2021,Inter,Genoa,2,Inter,2697,True,1814,Stefan de Vrij,91046,D,41,Salvatore Sirigu,82,Genoa,1402,6.9,57.0,8,34,0,set-piece,strongFoot,0,
24,1,1,21/08/2021,Inter,Genoa,6,Inter,2697,True,1814,Milan Škriniar,187205,D,41,Salvatore Sirigu,82,Genoa,1402,7.7,48.0,7,10,0,corner,head,1,
23,1,1,21/08/2021,Inter,Genoa,9,Genoa,2713,False,1402,Yayah Kallon,967510,F,63,Samir Handanović,86,Inter,1814,10.3,35.5,14,43,-1,assisted,strongFoot,0,
22,1,1,21/08/2021,Inter,Genoa,12,Inter,2697,True,1814,Stefano Sensi,294313,M,59,Salvatore Sirigu,82,Genoa,1402,10.5,55.7,11,20,1,assisted,head,0,
21,1,1,21/08/2021,Inter,Genoa,12,Inter,2697,True,1814,Marcelo Brozović,108800,M,73,Salvatore Sirigu,82,Genoa,1402,21.5,43.3,21,11,1,assisted,weakFoot,0,
20,1,1,21/08/2021,Inter,Genoa,14,Inter,2697,True,1814,Hakan Çalhanoğlu,135700,M,75,Salvatore Sirigu,82,Genoa,1402,25.9,39.8,26,14,1,assisted,strongFoot,1,
19,1,1,21/08/2021,Inter,Genoa,24,Inter,2697,True,1814,Edin Džeko,14990,F,83,Salvatore Sirigu,82,Genoa,1402,11.8,50.3,11,0,2,assisted,weakFoot,0,
18,1,1,21/08/2021,Inter,Genoa,28,Inter,2697,True,1814,Marcelo Brozović,108800,M,73,Salvatore Sirigu,82,Genoa,1402,22.3,35.8,24,23,2,regular,weakFoot,0,
17,1,1,21/08/2021,Inter,Genoa,37,Inter,2697,True,1814,Marcelo Brozović,108800,M,73,Salvatore Sirigu,82,Genoa,1402,13.5,56.4,14,17,2,regular,weakFoot,0,
16,1,1,21/08/2021,Inter,Genoa,39,Inter,2697,True,1814,Milan Škriniar,187205,D,41,Salvatore Sirigu,82,Genoa,1402,7.8,45.8,8,20,2,corner,head,0,
15,1,1,21/08/2021,Inter,Genoa,45,Genoa,2713,False,1402,Goran Pandev,2695,F,78,Samir Handanović,86,Inter,1814,14.0,56.7,14,18,-2,assisted,strongFoot,0,
