player_name,player_id
Josep Martínez,845291
Yann Bisseck,906275
Manuel Akanji,383560
Alessandro Bastoni,826188
Andy Diouf,1048889
Nicolò Barella,363856
Hakan Çalhanoğlu,135700
Piotr Zieliński,138605
Federico Dimarco,284361
Pio Esposito,1156616
Lautaro Martínez,823984
Petar Sučić,1091303
Ange-Yoan Bonny,1086223
John Stones,152077
Luís Henrique,977679
Aleksandar Stanković,1153957
Raffaele Di Gennaro,301162
Ivan Provedel,308182
Leonardo Bovio,1931502
Carlos Augusto,929199
Benjamin Pavard,787505
Jamal Iddrissou,1910557
Marcus Thuram,791702
Semuel Pizzignacco,923820
Eddy Kouadio,1526933
Lorenzo Lucchesi,972567
Andrea Carboni,970978
Adam Bakoune,1397353
Manga Foe Ondoa,1596636
Mathis Mout,1992105
Samuele Birindelli,856729
Andrea Colpani,928122
Gustavo Varela,1146305
Ricardo Mangas,878496
Nicolas Galazzi,967747
Patrick Cutrone,795044
Omari Forson,1153434
Jay Robinson,1440673
Filippo Delli Carri,862475
Aljaz Strajnar,1405684
Aleksandr Ballabio,2035776
Valentin Antov,827640
Solomon Loubao,1912462
Maduka Okoye,891656
James Abankwah,1127232
Matteo Palma,1495719
Oumar Solet,892979
Mërgim Vojvoda,798147
Jesper Karlström,227894
Jakub Piotrowski,825271
Hassane Kamara,351434
Nicolò Zaniolo,864898
Jürgen Ekkelenkamp,904887
Idrissa Gueye,1536811
Enzo Ebosse,848279
Lennon Miller,1154894
Vakoun Issouf Bayo,796455
Unai Gómez,1391375
Oier Zarraga,1009661
Daniele Padelli,2899
Edoardo Piana,1001017
Nicolò Bertola,1136399
Branimir Mlačić,1831525
Saba Goglichidze,1126175
Juan Arizala,1476922
David Pejičić,1397675
Sandi Lovrić,575852
Giulio Vinciati,1910431
Jean Butez,599114
Yan Couto,1002813
Jacobo Ramón,1403348
Trevoh Chalobah,826134
Álex Valle,1142238
Máximo Perrone,1086286
Luis Milla,811629
Nico Paz,1171451
Martin Baturina,1090019
Jesús Rodriguez,1800245
Anastasios Douvikas,894863
Lucas Da Cunha,911848
Assane Diao,1493689
Mattia Liberali,1475557
Ivan Smolčić,974581
Maxence Caqueret,859027
Mauro Vigorito,41444
Noel Törnqvist,1014583
Emil Audero,318603
Alberto Dossena,870211
Edoardo Goldaniga,295133
Marc Kempf,226974
Kaiki,1112484
Adrian Lahdo,1802689
Riccardo Cassano,2598583
Álvaro Morata,125407
Justin Bijlow,556696
Alessandro Marcandalli,1068885
Leo Østigård,879746
Johan Vásquez,889785
Brooke Norton-Cuffy,1087514
Morten Frendrup,918440
Alexsandro Amorim,1511706
Mikael Ellertsson,933203
Tommaso Baldanzi,1012172
Vitinha,1093695
Lorenzo Colombo,930191
Sebastian Otoa,1404639
Junior Messias,888219
Franz-Ethan Meichtry,1819079
Djibril Sow,799054
Adam Zulevic,1896418
Daniele Sommariva,595572
Franz Stolz,985848
Mamedi Doucoure,1526308
David Puczka,1399888
Mario Mitaj,1006089
Samuel Wiafe,1985772
Aarón Martín,797286
Stefano Sabelli,184421
Alex Meret,592794
Giovanni Di Lorenzo,153257
Amir Rrahmani,332155
Rafa Marín,984623
Leonardo Spinazzola,148899
Frank Anguissa,787941
Stanislav Lobotka,150383
Scott McTominay,879346
Matteo Politano,235672
Rasmus Højlund,1086417
Alisson Santos,1122835
Noa Lang,875136
Kevin De Bruyne,70996
Antonio Vergara,1069560
Lorenzo Lucca,962364
Mathías Olivera,805078
Vanja Milinković-Savić,356160
Nikita Contini,352728
Christian Garofalo,1587205
Sam Beukema,898815
Costantino Favasuli,1100544
Billy Gilmour,907668
Giovane,1170773
David Neres,850993
Edoardo Corvi,990411
Enrico Delprato,928103
Mariano Troilo,1516324
Abdoulaye Ndiaye,984527
Emanuele Valeri,891346
Adrián Bernabé,934384
Abdou-Salam Konate,1542692
Christian Ordoñez,1201388
Mandela Keita,1110136
El Bilal Touré,982615
Simone Lontani,1912962
Pontus Almqvist,856065
Rachid Kouda,1011815
Ousmane Diallo,1542807
Nesta Elphege,1486729
Benjamin Cremaschi,1459459
Alessandro Mazzocchi,2456977
Giovanni Daffara,1100418
Lautaro Valenti,958517
Dominik Drobnic ,1584940
Oliver Sørensen,957921
Franco Carboni,1086199
David Romero,1118606
Matija Frigan,1092081
Thomas de Martis,2082104
Elia Caprile,947954
Zé Pedro,945448
Alessandro Deiola,328109
Juan Rodríguez,1485391
Adam Obert,964153
Alessandro Romano,1417034
Harry Winks,545780
Michel Adopo,928777
Daniel Maldini,970928
Jacopo Fazzini,1012179
Paul Mendy,2049928
Gabriele Zappa,927304
Gennaro Borrelli,979479
Mattia Felici,975811
Giuseppe Aurelio,928889
Kingstone Mutandwa,1471569
Boris Radunović,795926
Alen Sherri,363380
Yerry Mina,360396
Raphael Kofler,1392774
Nicolò Cavuoti,1013041
Ivan Sulev,1151647
Matteo Prati,1111640
Joseph Liteta,1910527
Kevin Carlos Omoruyi,1035619
Alieu Fadera,1031548
Lorenzo Palmisani,1134623
Ilario Monterisi,1009363
Gabriele Calvani,1425050
Giorgio Cittadini,1001847
Gabriele Bracaglia,1394498
Giacomo Calò,839487
Matteo Cichella,1493209
Seydou Fini,1164381
Romano Schmid,830127
Giorgi Kvernadze,1140001
Antonio Raimondo,1121578
Patrizio Masini,970998
Alessio Zerbin,869888
Anthony Oyono,1106257
Luis Hasa,1082407
Aleksa Terzić,876860
Sebastiano Desplanches,1068715
Matteo Pisseri,170885
Wisdom Amey,1118232
Kevin Akpoguma,187423
Ilias Koutsoupias,964810
Anouar El Azzouzi,1021104
Florian Grillitsch,186719
Guglielmo Vicario,553606
Pierre Kalulu,965330
Gleison Bremer,885197
Lloyd Kelly,865167
Zeki Çelik,893008
Manuel Locatelli,363860
Douglas Luiz,867887
Francisco Conceição,979222
Weston McKennie,881931
Kenan Yıldız,1149011
Randal Kolo Muani,871706
Andrea Cambiaso,917048
Edon Zhegrova,887766
Jérémie Boga,367056
Teun Koopmeiners,803033
Mattia Perin,79645
Carlo Pinsoglio,46420
Juan Cabal,988037
Jhon Lucumí,818481
Daniele Rugani,139273
Kerim Alajbegović,1425366
Fabio Miretti,1010223
Khéphren Thuram,904832
Nicolás González,901325
Jonathan David,935564
Arkadiusz Milik,161325
Filip Stanković,986355
Joel Schingtienne,1388438
Armel Bella-Kotchap,976025
Bartol Franjić,880742
Antoine Hainaut,1394202
Kike Pérez,857178
Gianluca Busio,896180
Toma Bašić,798002
Thierry Correia,851282
John Yeboah,879802
Akor Adams,946381
Ridgeciano Haps,250501
Matteo Dagasso,1137526
Richie Sagrado,1198069
Albion Rrahmani,1124624
Lorenzo Montipò,253391
Redouane Halhal,1143667
Ale Gomes,2144390
Lamine Fanne,1435035
Kornel Lisman,1513549
Marko Farji,1026519
Simone Panada,965005
Simon Sohm,909991
Þórir Jóhann Helgason,886628
Alvin Obinna Okoro,1898935
Lion Lauberbach,886171
Wladimiro Falcone,256667
Danilo Veiga,1002045
Kialonda Gaspar,1090374
Jamil Siebert,1014287
Antonino Gallo,945616
Lassana Coulibaly,804621
Oumar Ngom,1175854
Olaf Gorter,1403088
Santiago Pierotti,984998
Willem Geubbels,877979
N'Dri Konan,978327
Corrie Ndaba,981470
Youssef Maleh,849274
Tiago Gabriel,1651825
Nikola Štulić,1029748
Omri Gandelman,1019125
Plamen Penev,1587294
Marco Bleve,307036
Hjalte Lærke,1913702
Sadik Fofana,1130662
Paco Esteban,1417383
Marco Carnesecchi,865646
Davide Zappacosta,132318
Odilon Kossounou,973437
Giorgio Scalvini,1012176
Lorenzo Bernasconi,1012177
Mario Pašalić,190437
Gianluca Gaetano,902019
Éderson,946888
Nicola Zalewski,984184
Gianluca Scamacca,807301
Giacomo Raspadori,865651
Lazar Samardžić,980624
Charles De Ketelaere,960441
Nikola Krstović,839156
Sead Kolašinac,142148
Eljif Elmas,838232
Paolo Vismara,1068684
Marco Sportiello,176301
Relja Obrić,1432414
Raoul Bellanova,826185
Ibrahim Sulemana,105905
Federico Cassa,1547497
Marten de Roon,100389
Arijanet Murić,888971
Simone Cinquegrano,1461516
Cas Odenthal,991677
Tommaso Macchioni,1910444
Josh Doig,989276
Vasilije Adžić,1149288
Nemanja Matić,44241
Darryl Bakola,1823916
Cristian Volpato,1155625
Kieron Bowie,983601
Armand Laurienté,932643
Kristian Thorstvedt,924973
Fedde Leysen,1088899
Benjamín Domínguez,1162611
Riccardo Ciervo,1019953
Gabriel Kulla,1957716
Stefano Turati,893752
Jay Idzes,933641
Alessandro Di Bitonto,1614147
Rafael Obrador,1142692
Edoardo Iannoni,1013239
Filippo Missori,1121184
Andrea Ghion,928879
Luca Lipani,1154898
Patrick Amiamo Nuamah,1394029
Nicholas Pierini,829581
Diego Mascardi,1471046
Saúl Coco,1089453
Ardian Ismajli,840414
Pietro Comuzzo,1210848
Marcus Pedersen,934409
Gvidas Gineitis,1030829
Kian Fitz-Jim,1001945
Alessio Cacciamani,1868036
Nikola Vlašić,357596
Cesare Casadei,1016788
Giovanni Simeone,341143
Niccolò Fortini,1526934
Alieu Njie,1493157
Che Adams,773409
Zakaria Aboukhlal,856737
Sandro Kulenović,826026
Lapo Siviero,1519010
Alberto Paleari,259281
Ali Dembélé,1397347
Mattia Pellini,1910533
Cristiano Biraghi,122848
Andrea Luongo,1985762
Emirhan İlkhan,1142612
Gaetano Oristanio,965009
Duván Zapata,38162
Mike Maignan,191210
Mario Gila,965828
Koni De Winter,1001828
Strahinja Pavlović,965893
Samuel Chukwueze,822470
Yunus Musah,983815
Ardon Jashari,1034082
Pervis Estupiñán,805465
Ruben Loftus-Cheek,284441
Alphadjo Cissè,1169409
Gonçalo Ramos,934510
Luka Modrić,15466
Adrien Rabiot,250737
Davide Bartesaghi,1390489
Alexis Saelemaekers,901891
Matteo Gabbia,826195
Leo Paul Bouyer,2063772
Lorenzo Torriani,1403294
Sankhoun Diawara,1899999
Filippo Terracciano,1034303
Christian Comotto,1622149
Samuele Ricci,930189
Diego Moreira,1142233
Francesco Camarda,1520771
Christian Pulišić,817957
Łukasz Skorupski,44906
Nadir Zortea,928104
Eivind Helland,1486808
Torbjørn Heggem,933264
Juan Miranda,855829
Oussama El Azzouzi,1127191
Lewis Ferguson,907152
Riccardo Orsolini,793645
Jens Odgaard,826064
Nicolò Cambiaghi,971005
Roberto Piccoli,958982
Federico Bernardeschi,294597
Jonathan Rowe,1065261
Artem Dovbyk,798820
Emil Holm,965264
Mikel Amondarain,1510920
Massimo Pessina,1530540
Ukko Happonen,1526395
Lorenzo De Silvestri,14718
Abdel Rahim,1120504
Martin Vitík,1085913
Marco Libra,1986578
Tommaso Pobega,928796
Nikola Moro,814882
Christos Mandas,913762
Adam Marušić,267619
Danilho Doekhi,830803
Oliver Provstgaard,1160559
Alfonso Pedraza,797290
Fisayo Dele-Bashiru,910121
Nicolò Rovella,937324
Kenneth Taylor,959806
Matteo Cancellieri,1017649
Boulaye Dia,960080
Mattia Zaccagni,293581
Romano Floriani Mussolini,1100354
Gustav Isaksen,976381
Davide Frattesi,835600
Nuno Tavares,944973
Tijjani Noslin,1069244
Edoardo Motta,1518983
Davide Renzetti,1472205
Ricardo Bordon,2030204
Alessio Romagnoli,227864
Manuel Lazzari,273405
Adrian Przyborek,1466806
Reda Belahyane,1389689
Valerio Farcomeni,1547464
Petar Ratkov,1101942
Mile Svilar,793986
Gianluca Mancini,611210
Evan Ndicka,848287
Mario Hermoso,353130
Emanuele Lulli,1955992
Bryan Cristante,186855
Manu Koné,974087
Wesley,1134200
Paulo Dybala,256219
Rodrigo Mora,1410240
Donyell Malen,803039
Matías Soulé,1082406
Konstantinos Koulierakis,1184855
Santiago Castro,1116577
Neil El Aynaoui,1128530
Niccolò Pisilli,1175821
Giorgio De Marzi,1652568
Pierluigi Gollini,329175
Nahuel Molina,831799
Daniele Ghilardi,1384847
Jan Ziółkowski,1499991
Robinio Vaz,1514800
David De Gea,69378
Dodô,822518
Radu Drăguşin,997103
Luca Ranieri,893998
João Mário,902031
Cher Ndour,1114422
Nicolò Fagioli,901850
Marco Brescianini,928800
Franco Mastantuono,1403559
Arthur Atta,1444690
Mateo Pellegrino,1099296
Álex Jiménez,1184308
Christ Inao Oulaï,1888002
Moise Kean,835601
Rolando Mandragora,548178
Víctor Valdepeñas,1901143
Oliver Christensen,860306
Luca Lezzerini,139272
Viery,1907760
Eman Košpo,1542041
Marin Pongračić,847467
Brando Mazzeo,2025664
Giovanni Fabbian,1067204
Federico Croci,2415458
Albert Guðmundsson,804909
Mike Maignan,191210
Mario Gila,965828
Koni De Winter,1001828
Strahinja Pavlović,965893
Samuel Chukwueze,822470
Yunus Musah,983815
Luka Modrić,15466
Davide Bartesaghi,1390489
Ruben Loftus-Cheek,284441
Alphadjo Cissè,1169409
Gonçalo Ramos,934510
Alexis Saelemaekers,901891
Adrien Rabiot,250737
Ardon Jashari,1034082
Matteo Gabbia,826195
Pervis Estupiñán,805465
Lorenzo Torriani,1403294
Pietro Terracciano,136856
Sankhoun Diawara,1899999
Filippo Terracciano,1034303
Christian Comotto,1622149
Diego Moreira,1142233
Francesco Camarda,1520771
Christian Pulišić,817957
Filip Stanković,986355
Joel Schingtienne,1388438
Armel Bella-Kotchap,976025
Bartol Franjić,880742
Antoine Hainaut,1394202
Kike Pérez,857178
Gianluca Busio,896180
Toma Bašić,798002
Ridgeciano Haps,250501
John Yeboah,879802
Akor Adams,946381
Redouane Halhal,1143667
Simon Sohm,909991
Thierry Correia,851282
Albion Rrahmani,1124624
Lion Lauberbach,886171
Matteo Grandi,125807
Lorenzo Montipò,253391
Ale Gomes,2144390
Matteo Dagasso,1137526
Lamine Fanne,1435035
Marko Farji,1026519
Richie Sagrado,1198069
Simone Panada,965005
Þórir Jóhann Helgason,886628
Alvin Obinna Okoro,1898935
David De Gea,69378
Álex Jiménez,1184308
Radu Drăguşin,997103
Marin Pongračić,847467
Víctor Valdepeñas,1901143
Cher Ndour,1114422
Christ Inao Oulaï,1888002
Arthur Atta,1444690
Franco Mastantuono,1403559
Mateo Pellegrino,1099296
Albert Guðmundsson,804909
Viery,1907760
Nicolò Fagioli,901850
Rolando Mandragora,548178
Marco Brescianini,928800
João Mário,902031
Oliver Christensen,860306
Luca Lezzerini,139272
Luca Ranieri,893998
Brando Mazzeo,2025664
Dodô,822518
Antonio Pirrò,1985764
Sulayman Jallow,1990374
Lorenzo Palmisani,1134623
Anthony Oyono,1106257
Gabriele Calvani,1425050
Ilario Monterisi,1009363
Gabriele Bracaglia,1394498
Patrizio Masini,970998
Giacomo Calò,839487
Seydou Fini,1164381
Romano Schmid,830127
Giorgi Kvernadze,1140001
Antonio Raimondo,1121578
Alessio Zerbin,869888
Aleksa Terzić,876860
Giorgio Cittadini,1001847
Florian Grillitsch,186719
Daniel Bîrligea,970969
Sebastiano Desplanches,1068715
Matteo Pisseri,170885
Wisdom Amey,1118232
Omar Fayed,1393731
Kevin Akpoguma,187423
Enzo Tchato Mbiayi,1103548
Luis Hasa,1082407
Anouar El Azzouzi,1021104
